# binding energy as a function of mu_b / m_b with the pade approximants, kappa = 0.08, nt = 50, beta = 0
# h2     [[0/1]]                   [[1/1]]                   [[2/1]]                   [[2/2]]
0.9616  -1.610613850514971e-6     -7.043127823756774e-7     -4.387323377175164e-7     -4.4548102641306187e-7
0.9617  -1.6554605668902017e-6    -7.239183397973584e-7     -4.509493079674326e-7     -4.578823311802171e-7
0.9618  -1.7015555723696404e-6    -7.440692896286215e-7     -4.635063715555101e-7     -4.706286579874282e-7
0.9619  -1.7489335874202262e-6    -7.647807836217902e-7     -4.764129902095605e-7     -4.837295942275998e-7
0.962   -1.7976302968196672e-6    -7.860683933311366e-7     -4.896788885672087e-7     -4.971949930511226e-7
0.9621  -1.8476823763583273e-6    -8.079481216821843e-7     -5.033140614656889e-7     -5.110349806924595e-7
0.9622  -1.899127520275911e-6     -8.304364148489629e-7     -5.173287814291691e-7     -5.252599640055896e-7
0.9623  -1.95200446945358e-6      -8.535501744670265e-7     -5.317336063636429e-7     -5.398806381904504e-7
0.9624  -2.006353040380427e-6     -8.773067701616596e-7     -5.465393874621073e-7     -5.549079947440955e-7
0.9625  -2.0622141549172365e-6    -9.017240524365725e-7     -5.617572773317608e-7     -5.703533296226346e-7
0.9626  -2.119629870877535e-6     -9.268203658973074e-7     -5.77398738340786e-7      -5.862282516256491e-7
0.9627  -2.1786434134487356e-6    -9.526145628385206e-7     -5.934755511979292e-7     -6.025446910055021e-7
0.9628  -2.2392992074763956e-6    -9.791260172020372e-7     -6.099998237625187e-7     -6.193149083169483e-7
0.9629  -2.3016429106346887e-6    -1.006374638912258e-6     -6.269840001068554e-7     -6.36551503507293e-7
0.963   -2.3657214475062407e-6    -1.034380888600665e-6     -6.444408698206371e-7     -6.54267425243904e-7
0.9631  -2.431583044597715e-6     -1.0631657927224611e-6    -6.623835775687227e-7     -6.724759805045446e-7
0.9632  -2.499277266314051e-6     -1.0927509590910544e-6    -6.808256329226794e-7     -6.911908444257009e-7
0.9633  -2.5688550519196086e-6    -1.123158592830202e-6     -6.997809204492148e-7     -7.10426070417294e-7
0.9634  -2.640368753510779e-6     -1.1544115127489694e-6    -7.19263710086965e-7      -7.301961005437234e-7
0.9635  -2.713872175028042e-6     -1.1865331681720576e-6    -7.392886677988399e-7     -7.505157762007996e-7
0.9636  -2.7894206123363197e-6    -1.2195476562082642e-6    -7.598708665248216e-7     -7.714003490658324e-7
0.9637  -2.8670708944001664e-6    -1.2534797395006941e-6    -7.810257974296762e-7     -7.928654923574042e-7
0.9638  -2.946881425585228e-6     -1.288354864437504e-6     -8.02769381461181e-7      -8.149273123838871e-7
0.9639  -3.028912229115379e-6     -1.3241991798648211e-6    -8.251179812250061e-7     -8.37602360419623e-7
0.964   -3.113224991715303e-6     -1.3610395562946524e-6    -8.480884131863876e-7     -8.609076448824213e-7
0.9641  -3.199883109472659e-6     -1.3989036056341686e-6    -8.71697960199909e-7      -8.848606438571114e-7
0.9642  -3.2889517349499252e-6    -1.4378197014337326e-6    -8.959643843922145e-7     -9.094793179453571e-7
0.9643  -3.3804978255802156e-6    -1.4778169996895314e-6    -9.209059403880926e-7     -9.347821234556671e-7
0.9644  -3.4745901933822423e-6    -1.518925460190254e-6     -9.465413889027469e-7     -9.607880259639943e-7
0.9645  -3.571299556027534e-6     -1.5611758684409991e-6    -9.728900107044943e-7     -9.875165142181604e-7
0.9646  -3.6706985892967107e-6    -1.60459985816709e-6      -9.999716209601948e-7     -1.0149876144286387e-6
0.9647  -3.7728619809630193e-6    -1.6492299344241058e-6    -1.0278065839665925e-6    -1.0432219049328728e-6
0.9648  -3.87786648613712e-6      -1.695099497311243e-6     -1.056415828294312e-6     -1.0722405312538679e-6
0.9649  -3.985790984117235e-6     -1.7422428663261438e-6    -1.0858208623334865e-6    -1.10206522156276e-6
0.965   -4.096716536778872e-6     -1.7906953053567145e-6    -1.116043790268511e-6     -1.1327183025479997e-6
0.9651  -4.210726448547607e-6     -1.8404930483395598e-6    -1.1471073284895384e-6    -1.1642227157113185e-6
0.9652  -4.327906327997197e-6     -1.8916733255965743e-6    -1.179034822446582e-6     -1.1966020340888625e-6
0.9653  -4.448344151113281e-6     -1.944274390864323e-6     -1.211850263963892e-6     -1.2298804794295256e-6
0.9654  -4.57213032626752e-6      -1.9983355490361053e-6    -1.2455783090242848e-6    -1.2640829398087288e-6
0.9655  -4.699357760948362e-6     -2.0538971846408366e-6    -1.2802442960393176e-6    -1.2992349877274143e-6
0.9656  -4.830121930290643e-6     -2.1110007910580376e-6    -1.315874264608719e-6     -1.3353628986735456e-6
0.9657  -4.9645209474555245e-6    -2.1696890005098097e-6    -1.3524949747975537e-6    -1.3724936701830765e-6
0.9658  -5.102655635904065e-6     -2.2300056148336685e-6    -1.3901339269271035e-6    -1.4106550413933532e-6
0.9659  -5.244629603617453e-6     -2.291995637058987e-6     -1.4288193819086403e-6    -1.4498755131203307e-6
0.966   -5.390549319312851e-6     -2.355705303810523e-6     -1.468580382121393e-6     -1.4901843684495902e-6
0.9661  -5.540524190704442e-6     -2.4211821185474267e-6    -1.5094467728593517e-6    -1.5316116938820212e-6
0.9662  -5.694666644866708e-6     -2.48847488568035e-6      -1.5514492243573769e-6    -1.5741884010127365e-6
0.9663  -5.853092210749685e-6     -2.557633745556547e-6     -1.5946192544060556e-6    -1.617946248794355e-6
0.9664  -6.015919603903047e-6     -2.6287102103638327e-6    -1.638989251584405e-6     -1.662917866362698e-6
0.9665  -6.1832708134673424e-6    -2.7017572009508287e-6    -1.6845924991110993e-6    -1.7091367764682742e-6
0.9666  -6.35527119148671e-6      -2.776829084605957e-6     -1.7314631993437159e-6    -1.756637419507277e-6
0.9667  -6.532049544604034e-6     -2.853981713797362e-6     -1.779636498929741e-6     -1.8054551781730657e-6
0.9668  -6.713738228199707e-6     -2.93327246591383e-6      -1.8291485146414343e-6    -1.8556264027507934e-6
0.9669  -6.90047324303394e-6      -3.014760284015715e-6     -1.8800363598947214e-6    -1.9071884370536246e-6
0.967   -7.0923943344575545e-6    -3.0985057186321164e-6    -1.9323381719869422e-6    -1.960179645032867e-6
0.9671  -7.289645094253889e-6     -3.184570970614243e-6     -1.986093140058686e-6     -2.014639438061713e-6
0.9672  -7.492373065178276e-6     -3.2730199350819003e-6    -2.041341533801523e-6     -2.0706083029207045e-6
0.9673  -7.700729848265055e-6     -3.363918246475525e-6     -2.098124732940246e-6     -2.1281278304985517e-6
0.9674  -7.914871212966497e-6     -3.4573333247535884e-6    -2.156485257493892e-6     -2.1872407452110157e-6
0.9675  -8.134957210195932e-6     -3.5533344227416676e-6    -2.216466798844641e-6     -2.2479909351783413e-6
0.9676  -8.361152288349464e-6     -3.6519926746758843e-6    -2.2781142516370966e-6    -2.310423483152149e-6
0.9677  -8.593625412373152e-6     -3.7533811459553867e-6    -2.341473746517945e-6     -2.3745846982294035e-6
0.9678  -8.832550185956601e-6     -3.857574884135569e-6     -2.4065926837526538e-6    -2.440522148360022e-6
0.9679  -9.078104976926578e-6     -3.964650971188166e-6     -2.4735197677252304e-6    -2.5082846936616005e-6
0.968   -9.330473045915389e-6     -4.074688577050745e-6     -2.542305042355254e-6     -2.5779225205774112e-6
0.9681  -9.589842678389967e-6     -4.187769014497696e-6     -2.6129999274490732e-6    -2.6494871768630294e-6
0.9682  -9.856407320115694e-6     -4.303975795355466e-6     -2.685657256008809e-6     -2.7230316074586645e-6
0.9683  -0.000010130365716139699  -4.4233946881000304e-6    -2.760331312525003e-6     -2.798610191233919e-6
0.9684  -0.000010411922053380983  -4.5461137768444245e-6    -2.8370778722746196e-6    -2.876278778634302e-6
0.9685  -0.00001070128610690435   -4.6722235217682885e-6    -2.9159542416529155e-6    -2.956094730256069e-6
0.9686  -0.000010998673389975019  -4.8018168209969365e-6    -2.9970192995564063e-6    -3.038116956350355e-6
0.9687  -0.000011304305307974134  -4.934989073977672e-6     -3.0803335398534863e-6    -3.1224059572918836e-6
0.9688  -0.000011618409316266219  -5.071838246359218e-6     -3.165959114960351e-6     -3.2090238650194553e-6
0.9689  -0.000011941219082118793  -5.212464936427079e-6     -3.2539598805531615e-6    -3.29803448547494e-6
0.969   -0.000012272974650753121  -5.356972443106085e-6     -3.344401441440758e-6     -3.3895033420547534e-6
0.9691  -0.000012613922615629087  -5.5054668355625325e-6    -3.4373511986274334e-6    -3.4834977200925345e-6
0.9692  -0.000012964316293061939  -5.658057024450992e-6     -3.532878397599974e-6     -3.580086712396003e-6
0.9693  -0.000013324415901258352  -5.814854834799176e-6     -3.6310541778494952e-6    -3.6793412658505153e-6
0.9694  -0.000013694488743882886  -5.975975080602064e-6     -3.7319516236808205e-6    -3.7813342291177927e-6
0.9695  -0.000014074809398244237  -6.141535641119297e-6     -3.835645816323561e-6     -3.886140401439724e-6
0.9696  -0.000014465659908206716  -6.3116575389267624e-6    -3.942213887376906e-6     -3.993836582563571e-6
0.9697  -0.000014867329981934449  -6.486465019736085e-6     -4.051735073627808e-6     -4.104501623826142e-6
0.9698  -0.000015280117194560852  -6.6660856340219235e-6    -4.1642907732605875e-6    -4.218216480381943e-6
0.9699  -0.000015704327195899553  -6.850650320472919e-6     -4.279964603503877e-6     -4.335064264633063e-6
0.97    -0.000016140273923298606  -7.040293491307871e-6     -4.398842459733012e-6     -4.455130300847944e-6
0.9701  -0.000016588279819739632  -7.2351531194633555e-6    -4.521012576074149e-6     -4.578502180993181e-6
0.9702  -0.000017048676057302527  -7.435370827706069e-6     -4.646565587533851e-6     -4.705269821806783e-6
0.9703  -0.00001752180276609233   -7.64109197967032e-6      -4.7755945936910745e-6    -4.835525523123005e-6
0.9704  -0.000018008009268743143  -7.852465772861939e-6     -4.908195223987594e-6     -4.969364027453431e-6
0.9705  -0.00001850765432061521   -8.06964533364439e-6      -5.0444657046472685e-6    -5.106882580861472e-6
0.9706  -0.000019021106355782352  -8.292787814232492e-6     -5.1845069272623e-6       -5.248180995126244e-6
0.9707  -0.00001954874373893902   -8.522054491726644e-6     -5.3284225190869485e-6    -5.393361711223691e-6
0.9708  -0.000020090955023320492  -8.757610869184446e-6     -5.476318915056521e-6     -5.5425298641247855e-6
0.9709  -0.000020648139214763174  -8.999626778774943e-6     -5.628305431595047e-6     -5.69579334893619e-6
0.971   -0.00002122070604201094   -9.248276487023333e-6     -5.784494342221564e-6     -5.853262888388407e-6
0.9711  -0.000021809076233376868  -9.503738802161354e-6     -5.945000955010011e-6     -6.0150521016819894e-6
0.9712  -0.000022413681799873568  -9.766197183603815e-6     -6.1099436919325764e-6    -6.1812775747024925e-6
0.9713  -0.00002303496632493177   -0.00001003583985356629   -6.279444170126701e-6     -6.352058931609482e-6
0.9714  -0.000023673385260798766  -0.000010312859910828755  -6.4536272851139515e-6    -6.5275189078096846e-6
0.9715  -0.00002432940623174835   -0.000010597455446671344  -6.6326212960311556e-6    -6.707783424319696e-6
0.9716  -0.00002500350934419164   -0.000010889829662967771  -6.816557912880178e-6     -6.892981663516536e-6
0.9717  -0.000025696187503803346  -0.000011190190992467462  -7.005572385864954e-6     -7.083246146281079e-6
0.9718  -0.00002640794673977087   -0.000011498753221245347  -7.199803596832527e-6     -7.278712810536057e-6
0.9719  -0.000027139306536267044  -0.00001181573561334796   -7.399394152869373e-6     -7.4795210911708996e-6
0.972   -0.000027890800171236503  -0.000012141363037605108  -7.604490482078324e-6     -7.685814001350442e-6
0.9721  -0.00002866297506261547   -0.000012475866096623194  -7.815242931592274e-6     -7.897738215210065e-6
0.9722  -0.000029456393122051392  -0.000012819481257944124  -8.03180586783927e-6      -8.115444151902083e-6
0.9723  -0.000030271631116241535  -0.000013172450987358571  -8.254337779123197e-6     -8.339086061012628e-6
0.9724  -0.00003110928103595411   -0.000013535023884359588  -8.483001380527001e-6     -8.568822109312473e-6
0.9725  -0.00003196995047282301   -0.000013907454819716747  -8.717963721206678e-6     -8.804814468821693e-6
0.9726  -0.000032854263004003214  -0.000014290005075147375  -8.959396294086756e-6     -9.04722940618319e-6
0.9727  -0.00003376285858474124   -0.000014682942485059087  -9.2074751480069e-6       -9.296237373294317e-6
0.9728  -0.00003469639394892863   -0.000015086541580327596  -9.462381002350744e-6     -9.552013099190633e-6
0.9729  -0.00003565554301772535   -0.00001550108373408065   -9.724299364193979e-6     -9.814735683131096e-6
0.973   -0.000036640997316255454  -0.000015926857309431765  -9.993420647993637e-6     -0.000010084588688844668
0.9731  -0.00003765346639846845   -0.000016364157809131988  -0.000010269940297874434  -0.000010361760239910143
0.9732  -0.0000386936782801672    -0.000016813288027072024  -0.000010554058912512209  -0.000010646443116200436
0.9733  -0.000039762379880239376  -0.00001727455820158407   -0.00001084598237267307   -0.000010938834851345359
0.9734  -0.000040860337470121535  -0.000017748286170475676  -0.000011145921971418713  -0.000011239137831158752
0.9735  -0.00004198833713146776   -0.000018234797527710985  -0.000011454094547007382  -0.000011547559392940572
0.9736  -0.000043147185222054286  -0.0000187344257816843    -0.00001177072261852704   -0.000011864311925613643
0.9737  -0.00004433770884986759   -0.000019247512514968433  -0.000012096034524266344  -0.000012189612970576642
0.9738  -0.00004556075635534526   -0.00001977440754546043   -0.000012430264562850153  -0.000012523685323216989
0.9739  -0.00004681719780175463   -0.0000203154690888229    -0.000012773653137176563  -0.000012866757134958357
0.974   -0.00004810792547358854   -0.00002087106392209303   -0.000013126446901137212  -0.000013219062015764823
0.9741  -0.000049433854382927734  -0.000021441567548354827  -0.000013488898909158735  -0.000013580839136961796
0.9742  -0.00005079592278367553   -0.000022027364362331428  -0.000013861268768573639  -0.000013952333334273637
0.9743  -0.00005219509269350307   -0.0000226288478167624    -0.000014243822794814985  -0.000014333795210914358
0.9744  -0.00005363235042341004   -0.000023246420589418793  -0.000014636834169449715  -0.000014725481240619798
0.9745  -0.00005510870711469146   -0.000023880494750589183  -0.000015040583101044908  -0.000015127653870438903
0.9746  -0.00005662519928313488   -0.000024531491930859342  -0.00001545535698885957   -0.000015540581623124734
0.9747  -0.00005818288937024607   -0.000025199843489021387  -0.000015881450589362025  -0.000015964539198944403
0.9748  -0.00005978286630122595   -0.000025885990679897794  -0.00001631916618554849   -0.000016399807576717582
0.9749  -0.00006142624604942582   -0.00002659038482187345   -0.00001676881375903881   -0.000016846674113853156
0.975   -0.00006311417220702162   -0.00002731348746394419   -0.000017230711164956564  -0.00001730543264519648
0.9751  -0.00006484781656147607   -0.000028055770551994998  -0.00001770518430950719   -0.000017776383580409877
0.9752  -0.00006662837967749878   -0.000028817716594130106  -0.000018192567330273097  -0.000018259833999651643
